"Source:","C:\Users\Dougl\OneDrive\Ham Radio\KiCad Files\HD1416\HD1416\HD1416.kicad_sch"
"Date:","5/8/2022 1:57:27 PM"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","36"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive","Value2"
"","","C1",".01u","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C315C104M5U5TA7303","",".01u","Y","","C",""
"","","C2",".005u","Device:C_Small","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","https://www.digikey.com/en/products/detail/kemet/C315C103K5R5TA7303/3726109","","","","","",""
"","","C3",".01u","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C315C103K5R5TA7303","","","","","",""
"","","C4",".1u","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C315C104M5U5TA7303","","","","","",""
"","","C5",".2u","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C315C104M5U5TA7303","","","","","",""
"","","D1","D1N4005","Diode:1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","standard.dio","D1N4005","Y","","D",""
"","","H3","8200","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H4","F","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H5","E","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H6","D","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H7","C","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H8","B","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H9","ST","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H10","A","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","H11","GND","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"","","J1","AudioJack2","Connector:AudioJack2","Connector_Audio:Jack_6.35mm_Neutrik_NJ2FD-V_Vertical","https://www.digikey.com/en/products/detail/switchcraft-inc/12B/109541","","1","Y","","R",""
"","","LS1","50","Device:Speaker","Buzzer_Beeper:Speaker_CUI_CMR-1206S-67","https://www.visaton.de/sites/default/files/dd_product/k50fl_50.pdf","","50","Y","","R",""
"","","Q1","MPSA20","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","standard.bjt","MPSA20","Y","3 2 1","Q",""
"","","Q2","MPSA20","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","standard.bjt","MPSA20","Y","3 2 1","Q",""
"","","Q3","BC547A","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-39-3","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","standard.bjt","BC547A","Y","3 2 1","Q",""
"","","R1","10k","Device:R_Small_US","footprints:CFM12JT10K0","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"","","R2","220k","Device:R_Small_US","footprints:SFR16S0002203FR500","https://www.vishay.com/docs/28722/sfr16s25.pdf","","","","","",""
"","","R3","pot_lin2","Device:R_Potentiometer_Trim_US","footprints:3299X-1-504LF","~","Pot2.lib","pot_lin2","Y","","X",""
"","","R4","68k","Device:R_Small_US","footprints:CFR-50JB-52-68K","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20CFR_datasheet_2021v0.pdf","","","","","",""
"","","R5","5.6k","Device:R_Small_US","footprints:CFR-50JB-52-5K6","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20CFR_datasheet_2021v0.pdf","","","","","",""
"","","R6","2.2k","Device:R_Small_US","footprints:CFM12JT2K20","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"","","R7","33k","Device:R_Small_US","footprints:CFM12JT33K0","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"","","R8","pot_lin","Device:R_Potentiometer_Trim_US","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.bourns.com/docs/Product-Datasheets/pda24.pdf","Pot.lib","pot_lin","Y","","X","Rt=25k"
"","","R9","8200","Device:R_Small_US","footprints:CF12JT8K20","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"","","TP1","TestPoint_Flag","Connector:TestPoint_Flag","TestPoint:TestPoint_Pad_D2.0mm","~","","","N","","R",""
"","","TP2","TestPoint_Flag","Connector:TestPoint_Flag","TestPoint:TestPoint_Pad_D2.0mm","~","","","N","","R",""
"","","TP3","TestPoint_Flag","Connector:TestPoint_Flag","TestPoint:TestPoint_Pad_D2.0mm","~","","","N","","R",""
"","","TP4","TestPoint_Flag","Connector:TestPoint_Flag","TestPoint:TestPoint_Pad_D2.0mm","~","","","N","","R",""
"","","TP5","TestPoint_Flag","Connector:TestPoint_Flag","TestPoint:TestPoint_Pad_D2.0mm","~","","","N","","R",""
"","","TP6","TestPoint_Flag","Connector:TestPoint_Flag","TestPoint:TestPoint_Pad_D2.0mm","~","","","N","","R",""
"","","V1","9","pspice:VSOURCE","footprints:BatteryHolder_MPD_BA9VPC_1xPP3 dem","https://www.keyelco.com/userAssets/file/M65p13.pdf","","dc 9","Y","","V",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive","Value2"
"1","2","C1, C3",".01u","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C315C104M5U5TA7303","",".01u","Y","","C",""
"2","1","C2",".005u","Device:C_Small","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","https://www.digikey.com/en/products/detail/kemet/C315C103K5R5TA7303/3726109","","","","","",""
"3","1","C4",".1u","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C315C104M5U5TA7303","","","","","",""
"4","1","C5",".2u","Device:C_Small","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C315C104M5U5TA7303","","","","","",""
"5","1","D1","D1N4005","Diode:1N4005","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","standard.dio","D1N4005","Y","","D",""
"6","1","H3","8200","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"7","1","H4","F","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"8","1","H5","E","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"9","1","H6","D","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"10","1","H7","C","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"11","1","H8","B","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"12","1","H9","ST","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"13","1","H10","A","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"14","1","H11","GND","Mechanical:MountingHole_Pad","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm","~","","","N","","R",""
"15","1","J1","AudioJack2","Connector:AudioJack2","Connector_Audio:Jack_6.35mm_Neutrik_NJ2FD-V_Vertical","https://www.digikey.com/en/products/detail/switchcraft-inc/12B/109541","","1","Y","","R",""
"16","1","LS1","50","Device:Speaker","Buzzer_Beeper:Speaker_CUI_CMR-1206S-67","https://www.visaton.de/sites/default/files/dd_product/k50fl_50.pdf","","50","Y","","R",""
"17","2","Q1, Q2","MPSA20","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","standard.bjt","MPSA20","Y","3 2 1","Q",""
"18","1","Q3","BC547A","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-39-3","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","standard.bjt","BC547A","Y","3 2 1","Q",""
"19","1","R1","10k","Device:R_Small_US","footprints:CFM12JT10K0","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"20","1","R2","220k","Device:R_Small_US","footprints:SFR16S0002203FR500","https://www.vishay.com/docs/28722/sfr16s25.pdf","","","","","",""
"21","1","R3","pot_lin2","Device:R_Potentiometer_Trim_US","footprints:3299X-1-504LF","~","Pot2.lib","pot_lin2","Y","","X",""
"22","1","R4","68k","Device:R_Small_US","footprints:CFR-50JB-52-68K","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20CFR_datasheet_2021v0.pdf","","","","","",""
"23","1","R5","5.6k","Device:R_Small_US","footprints:CFR-50JB-52-5K6","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20CFR_datasheet_2021v0.pdf","","","","","",""
"24","1","R6","2.2k","Device:R_Small_US","footprints:CFM12JT2K20","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"25","1","R7","33k","Device:R_Small_US","footprints:CFM12JT33K0","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"26","1","R8","pot_lin","Device:R_Potentiometer_Trim_US","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.bourns.com/docs/Product-Datasheets/pda24.pdf","Pot.lib","pot_lin","Y","","X","Rt=25k"
"27","1","R9","8200","Device:R_Small_US","footprints:CF12JT8K20","https://www.seielect.com/catalog/sei-cf_cfm.pdf","","","","","",""
"28","6","TP1, TP2, TP3, TP4, TP5, TP6","TestPoint_Flag","Connector:TestPoint_Flag","TestPoint:TestPoint_Pad_D2.0mm","~","","","N","","R",""
"29","1","V1","9","pspice:VSOURCE","footprints:BatteryHolder_MPD_BA9VPC_1xPP3 dem","https://www.keyelco.com/userAssets/file/M65p13.pdf","","dc 9","Y","","V",""
